id,original_name,generated_name,authors,year,name,journal
2473,Alignment of Electronic Commerce Strategic Planning (ECSP),Alignment of Electronic Commerce Strategic Planning,"Jhih‐Ming Lai, Gwo‐Guang Lee, Wei‐Lin Hsu",2009,The influence of partner’s trust-commitment relationship on electronic commerce strategic planning,Management Decision
2474,Improvement in Electronic Commerce Strategic Planning (ECSP) Capabilities,Improvement in Electronic Commerce Strategic Planning Capabilities,"Jhih‐Ming Lai, Gwo‐Guang Lee, Wei‐Lin Hsu",2009,The influence of partner’s trust-commitment relationship on electronic commerce strategic planning,Management Decision
2475,Strategic Benefits of Electronic Commerce (EC),Strategic Benefits of Electronic Commerce,"Jhih‐Ming Lai, Gwo‐Guang Lee, Wei‐Lin Hsu",2009,The influence of partner’s trust-commitment relationship on electronic commerce strategic planning,Management Decision
2476,Environmental Uncertainty,Environmental Uncertainty,"Grover S. Kearns, Albert L. Lederer",2004,The impact of industry contextual factors on IT focus and the use of IT for competitive advantage,Information & Management
2477,Information Intensity,Information Intensity,"Grover S. Kearns, Albert L. Lederer",2004,The impact of industry contextual factors on IT focus and the use of IT for competitive advantage,Information & Management
2478,Business Dependence on IT,Business Dependence on Information Technology,"Grover S. Kearns, Albert L. Lederer",2004,The impact of industry contextual factors on IT focus and the use of IT for competitive advantage,Information & Management
2479,IT Participation in Business Planning,Information Technology Participation in Business Planning,"Grover S. Kearns, Albert L. Lederer",2004,The impact of industry contextual factors on IT focus and the use of IT for competitive advantage,Information & Management
2480,Alignment of the IT Plan with the Business Plan,Alignment of the Information Technology Plan with the [truncated],"Grover S. Kearns, Albert L. Lederer",2004,The impact of industry contextual factors on IT focus and the use of IT for competitive advantage,Information & Management
2481,Use of IT for Competitive Advantage,Use of Information Technology for Competitive Advantage,"Grover S. Kearns, Albert L. Lederer",2004,The impact of industry contextual factors on IT focus and the use of IT for competitive advantage,Information & Management
2482,Information Intensity of the Value Chain,Information Intensity of the Value Chain,"Grover S. Kearns, Albert L. Lederer",2003,A Resource-Based View of Strategic IT Alignment: How Knowledge Sharing Creates Competitive Advantage,Decision Sciences
2483,The CIO Participates in Business Planning,The Chief Information Officer Participates in Business Planning,"Grover S. Kearns, Albert L. Lederer",2003,A Resource-Based View of Strategic IT Alignment: How Knowledge Sharing Creates Competitive Advantage,Decision Sciences
2484,The CEO Participates in IT Planning,Chief Executive Officer Participation in Information Technology Planning,"Grover S. Kearns, Albert L. Lederer",2003,A Resource-Based View of Strategic IT Alignment: How Knowledge Sharing Creates Competitive Advantage,Decision Sciences
2485,The IT Plan Reflects the Business Plan,The Information Technology Plan Reflects the Business Plan,"Grover S. Kearns, Albert L. Lederer",2003,A Resource-Based View of Strategic IT Alignment: How Knowledge Sharing Creates Competitive Advantage,Decision Sciences
2486,The Business Plan Reflects the IT Plan,The Business Plan Reflects the IT Plan,"Grover S. Kearns, Albert L. Lederer",2003,A Resource-Based View of Strategic IT Alignment: How Knowledge Sharing Creates Competitive Advantage,Decision Sciences
2487,IT is Used for Competitive Advantege,Information Technology Used for Competitive Advantage,"Grover S. Kearns, Albert L. Lederer",2003,A Resource-Based View of Strategic IT Alignment: How Knowledge Sharing Creates Competitive Advantage,Decision Sciences
2488,Alignment of the IS Plan with the Business Plan,Alignment of the Information Systems Plan with the [truncated],"G.S Kearns, A.L. Lederer",2000,The effect of strategic alignment on the use of IS-based resources for competitive advantage,The Journal of Strategic Information Systems
2489,Alignment of the Business Plan with the IS Plan,Alignment of the Business Plan with the Information [truncated],"G.S Kearns, A.L. Lederer",2000,The effect of strategic alignment on the use of IS-based resources for competitive advantage,The Journal of Strategic Information Systems
2490,Use of IS-Based Resources to Create A Competitive Advantage,Use of Information Systems Based Resources to Create [truncated],"G.S Kearns, A.L. Lederer",2000,The effect of strategic alignment on the use of IS-based resources for competitive advantage,The Journal of Strategic Information Systems
2491,Perceived Usefulness,Perceived Usefulness,"Ming-Chien Hung, Wen-Yuan Jen",2012,The Adoption of Mobile Health Management Services: An Empirical Study,Journal of Medical Systems
2492,Perceived Ease of Use,Perceived Ease of Use,"Ming-Chien Hung, Wen-Yuan Jen",2012,The Adoption of Mobile Health Management Services: An Empirical Study,Journal of Medical Systems
2493,Attitude,Attitude Toward Using Mobile Health Management Services,"Ming-Chien Hung, Wen-Yuan Jen",2012,The Adoption of Mobile Health Management Services: An Empirical Study,Journal of Medical Systems
2494,Behavioral Intention toward MHMS,Behavioral Intention toward Mobile Health Management Services,"Ming-Chien Hung, Wen-Yuan Jen",2012,The Adoption of Mobile Health Management Services: An Empirical Study,Journal of Medical Systems
2495,Business Knowledge/Skills,Business Knowledge and Skills,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2496,Behavioral Knowledge/Skills,Behavioral Knowledge and Skills,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2497,Technical Knowledge/Skills,Technical Knowledge and Skills,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2498,IT Modularity,Information Technology Modularity,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2499,IT Compatibility,Information Technology Compatibility,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2500,IT Connectivity,Information Technology Connectivity,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2501,Range of Managerial Capabilities,Range of Managerial Capabilities,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2502,Range of Physical Capabilities,Range of Physical Capabilities,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2503,Strategic Alignment,Strategic Alignment,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2504,IT-based Competitive Advantage,Information Technology Based Competitive Advantage,"Lior Fink, Seev Neumann",2009,Exploring the perceived business value of the flexibility enabled by information technology infrastructure,Information & Management
2505,IT,Information Technology,"Prodromos D. Chatzoglou, Anastasios D. Diamantidis, Eftichia Vraimaki, Stergios K. Vranakis",2011,"Aligning IT, strategic orientation and organizational structure",Business Process Management Journal
2506,strategy,Business strategy,"Prodromos D. Chatzoglou, Anastasios D. Diamantidis, Eftichia Vraimaki, Stergios K. Vranakis",2011,"Aligning IT, strategic orientation and organizational structure",Business Process Management Journal
2586,structure,Organizational structure,"Prodromos D. Chatzoglou, Anastasios D. Diamantidis, Eftichia Vraimaki, Stergios K. Vranakis",2011,"Aligning IT, strategic orientation and organizational structure",Business Process Management Journal
2587,alignment,Organizational Alignment,"Prodromos D. Chatzoglou, Anastasios D. Diamantidis, Eftichia Vraimaki, Stergios K. Vranakis",2011,"Aligning IT, strategic orientation and organizational structure",Business Process Management Journal
2588,performance,Business performance,"Prodromos D. Chatzoglou, Anastasios D. Diamantidis, Eftichia Vraimaki, Stergios K. Vranakis",2011,"Aligning IT, strategic orientation and organizational structure",Business Process Management Journal
2589,ROA,Return on Assets,"Prodromos D. Chatzoglou, Anastasios D. Diamantidis, Eftichia Vraimaki, Stergios K. Vranakis",2011,"Aligning IT, strategic orientation and organizational structure",Business Process Management Journal
2590,sales growth,Sales growth,"Prodromos D. Chatzoglou, Anastasios D. Diamantidis, Eftichia Vraimaki, Stergios K. Vranakis",2011,"Aligning IT, strategic orientation and organizational structure",Business Process Management Journal
2591,profitability,profitability,"Prodromos D. Chatzoglou, Anastasios D. Diamantidis, Eftichia Vraimaki, Stergios K. Vranakis",2011,"Aligning IT, strategic orientation and organizational structure",Business Process Management Journal
2507,Compatiblity,Compatibility,"Chung, Sock H.; Rainer, R.K.Jr; Lewis, Bruce R.",2003,The Impact of Information Technology Infrastructure Flexibility on Strategic Alignment and Application Implementations,Communications of the Association for Information Systems
2508,Connectivity,Connectivity is the ability of any technology component [truncated],"Chung, Sock H.; Rainer, R.K.Jr; Lewis, Bruce R.",2003,The Impact of Information Technology Infrastructure Flexibility on Strategic Alignment and Application Implementations,Communications of the Association for Information Systems
2509,Modularity,Modularity,"Chung, Sock H.; Rainer, R.K.Jr; Lewis, Bruce R.",2003,The Impact of Information Technology Infrastructure Flexibility on Strategic Alignment and Application Implementations,Communications of the Association for Information Systems
2510,Extent of IT Implementation,Extent of Information Technology Implementation,"Chung, Sock H.; Rainer, R.K.Jr; Lewis, Bruce R.",2003,The Impact of Information Technology Infrastructure Flexibility on Strategic Alignment and Application Implementations,Communications of the Association for Information Systems
2511,Alignment,Strategic Alignment,"Chung, Sock H.; Rainer, R.K.Jr; Lewis, Bruce R.",2003,The Impact of Information Technology Infrastructure Flexibility on Strategic Alignment and Application Implementations,Communications of the Association for Information Systems
2512,IT Personnel,Information Technology Personnel,"Chung, Sock H.; Rainer, R.K.Jr; Lewis, Bruce R.",2003,The Impact of Information Technology Infrastructure Flexibility on Strategic Alignment and Application Implementations,Communications of the Association for Information Systems
2513,IT Infrastructure,Information Technology Infrastructure,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2514,Strategic Alignment,Strategic Alignment,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2515,Organizational Structure,Organizational Structure,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2516,Individual Learning,Individual Learning,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2517,Process Innovation,Process Innovation,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2518,IT Adoption,Information Technology Adoption,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2519,Product Innovation,Product Innovation,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2520,External Advantage,External Competitive Advantage,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2521,Internal Advantage,Internal Competitive Advantage,"Chen J. S., Tsou H. T.",2007,Information technology adoption for service innovation practices and competitive advantage: the case of financial firms,Information Research
2522,IT Budget,Information Technology Budget,"Kevin Celuch, Gregory B. Murphy, Stephen K. Callaway",2007,More bang for your buck: Small firms and the importance of aligned information technology capabilities and strategic flexibility,The Journal of High Technology Management Research
2523,IT Strategic Alignment,Information Technology Strategic Alignment,"Kevin Celuch, Gregory B. Murphy, Stephen K. Callaway",2007,More bang for your buck: Small firms and the importance of aligned information technology capabilities and strategic flexibility,The Journal of High Technology Management Research
2524,Reactive Strategic Flexibility,Reactive Strategic Flexibility,"Kevin Celuch, Gregory B. Murphy, Stephen K. Callaway",2007,More bang for your buck: Small firms and the importance of aligned information technology capabilities and strategic flexibility,The Journal of High Technology Management Research
2525,Proactive Strategic Flexibility,Proactive Strategic Flexibility,"Kevin Celuch, Gregory B. Murphy, Stephen K. Callaway",2007,More bang for your buck: Small firms and the importance of aligned information technology capabilities and strategic flexibility,The Journal of High Technology Management Research
2526,Customer Value,Customer Value,"Kevin Celuch, Gregory B. Murphy, Stephen K. Callaway",2007,More bang for your buck: Small firms and the importance of aligned information technology capabilities and strategic flexibility,The Journal of High Technology Management Research
2527,Sales Goal Confidence,Sales Goal Confidence,"Kevin Celuch, Gregory B. Murphy, Stephen K. Callaway",2007,More bang for your buck: Small firms and the importance of aligned information technology capabilities and strategic flexibility,The Journal of High Technology Management Research
2528,Net Income Goal Confidence,Net Income Goal Confidence,"Kevin Celuch, Gregory B. Murphy, Stephen K. Callaway",2007,More bang for your buck: Small firms and the importance of aligned information technology capabilities and strategic flexibility,The Journal of High Technology Management Research
2529,Knowledge,Strategic Knowledge,"Curtis P. Armstrong, V. Sambamurthy",1999,Information Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures,Information Systems Research
2530,Systems of Knowing,Systems of Knowing,"Curtis P. Armstrong, V. Sambamurthy",1999,Information Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures,Information Systems Research
2531,IT Assimilation,Information Technology Assimilation,"Curtis P. Armstrong, V. Sambamurthy",1999,Information Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures,Information Systems Research
2532,Infrastructure Sophistication,Information Technology Infrastructure Sophistication,"Curtis P. Armstrong, V. Sambamurthy",1999,Information Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures,Information Systems Research
2533,Organizational Size,Organizational Size,"Curtis P. Armstrong, V. Sambamurthy",1999,Information Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures,Information Systems Research
2534,Information Management Environment Maturity,Information Management Environment Maturity,"Dong Li, Shaobo Ji, Wei Li",2006,"Information Management Environment, Business Strategy, and the Effectiveness of Information Systems Strategic Planning",PACIS Proceedings
2535,Performance,Performance,"Dong Li, Shaobo Ji, Wei Li",2006,"Information Management Environment, Business Strategy, and the Effectiveness of Information Systems Strategic Planning",PACIS Proceedings
2536,Capability Enhancement,Capability Enhancement,"Dong Li, Shaobo Ji, Wei Li",2006,"Information Management Environment, Business Strategy, and the Effectiveness of Information Systems Strategic Planning",PACIS Proceedings
2537,Alignment,Alignment,"Dong Li, Shaobo Ji, Wei Li",2006,"Information Management Environment, Business Strategy, and the Effectiveness of Information Systems Strategic Planning",PACIS Proceedings
2538,Strategic Orientation,Strategic Orientation,"François Bergeron, Louis Raymond, Suzanne Rivard",2001,FIT IN STRATEGIC INFORMATION TECHNOLOGY MANAGEMENT RESEARCH: AN EMPIRICAL COMPARISON OF PERSPECTIVES,Omega
2539,Environmental Uncertainty,Environmental Uncertainty,"François Bergeron, Louis Raymond, Suzanne Rivard",2001,FIT IN STRATEGIC INFORMATION TECHNOLOGY MANAGEMENT RESEARCH: AN EMPIRICAL COMPARISON OF PERSPECTIVES,Omega
2540,Strategic IT Management,Strategic Information Technology Management,"François Bergeron, Louis Raymond, Suzanne Rivard",2001,FIT IN STRATEGIC INFORMATION TECHNOLOGY MANAGEMENT RESEARCH: AN EMPIRICAL COMPARISON OF PERSPECTIVES,Omega
2541,Performance,Performance,"François Bergeron, Louis Raymond, Suzanne Rivard",2001,FIT IN STRATEGIC INFORMATION TECHNOLOGY MANAGEMENT RESEARCH: AN EMPIRICAL COMPARISON OF PERSPECTIVES,Omega
2542,Structural Complexity,Structural Complexity,"François Bergeron, Louis Raymond, Suzanne Rivard",2001,FIT IN STRATEGIC INFORMATION TECHNOLOGY MANAGEMENT RESEARCH: AN EMPIRICAL COMPARISON OF PERSPECTIVES,Omega
2543,Coalignment,Coalignment,"François Bergeron, Louis Raymond, Suzanne Rivard",2001,FIT IN STRATEGIC INFORMATION TECHNOLOGY MANAGEMENT RESEARCH: AN EMPIRICAL COMPARISON OF PERSPECTIVES,Omega
2544,Productivity Lever,Productivity Lever,"Ra’ed (Moh’d Taisir) Masa’deh, Rifat O. Shannak",2012,Intermediary Effects of knowledge Management Strategy and Learning Orientation on Strategic Alignment and Firm,Research Journal of International Studies
2545,Growth Performance,Growth Performance,"Ra’ed (Moh’d Taisir) Masa’deh, Rifat O. Shannak",2012,Intermediary Effects of knowledge Management Strategy and Learning Orientation on Strategic Alignment and Firm,Research Journal of International Studies
2546,Explicit KMS,Explicit Knowledge Management Strategy,"Ra’ed (Moh’d Taisir) Masa’deh, Rifat O. Shannak",2012,Intermediary Effects of knowledge Management Strategy and Learning Orientation on Strategic Alignment and Firm,Research Journal of International Studies
2547,Tacit KMS,Tacit Knowledge Management System,"Ra’ed (Moh’d Taisir) Masa’deh, Rifat O. Shannak",2012,Intermediary Effects of knowledge Management Strategy and Learning Orientation on Strategic Alignment and Firm,Research Journal of International Studies
2548,Innovation Performance,Innovation Performance,"Ra’ed (Moh’d Taisir) Masa’deh, Rifat O. Shannak",2012,Intermediary Effects of knowledge Management Strategy and Learning Orientation on Strategic Alignment and Firm,Research Journal of International Studies
2549,Innovation Lever,Innovation Lever,"Ra’ed (Moh’d Taisir) Masa’deh, Rifat O. Shannak",2012,Intermediary Effects of knowledge Management Strategy and Learning Orientation on Strategic Alignment and Firm,Research Journal of International Studies
2550,Exploration LO,Exploration Learning Orientation,"Ra’ed (Moh’d Taisir) Masa’deh, Rifat O. Shannak",2012,Intermediary Effects of knowledge Management Strategy and Learning Orientation on Strategic Alignment and Firm,Research Journal of International Studies
2551,Exploitation LO,Exploitation Learning Orientation,"Ra’ed (Moh’d Taisir) Masa’deh, Rifat O. Shannak",2012,Intermediary Effects of knowledge Management Strategy and Learning Orientation on Strategic Alignment and Firm,Research Journal of International Studies
2552,Communication,Communication,"Jerry Luftman, John Dorociak, Raykumar Kempaiah,",2008,Strategic Alignment Maturity: A Structural Equation Model Validation,AMCIS Proceedings
2553,Scope,Technology Scope and Architecture,"Jerry Luftman, John Dorociak, Raykumar Kempaiah,",2008,Strategic Alignment Maturity: A Structural Equation Model Validation,AMCIS Proceedings
2554,Competency,Competency,"Jerry Luftman, John Dorociak, Raykumar Kempaiah,",2008,Strategic Alignment Maturity: A Structural Equation Model Validation,AMCIS Proceedings
2555,Governance,Governance,"Jerry Luftman, John Dorociak, Raykumar Kempaiah,",2008,Strategic Alignment Maturity: A Structural Equation Model Validation,AMCIS Proceedings
2556,Performance,Business Performance,"Jerry Luftman, John Dorociak, Raykumar Kempaiah,",2008,Strategic Alignment Maturity: A Structural Equation Model Validation,AMCIS Proceedings
2557,Partnership,Partnership,"Jerry Luftman, John Dorociak, Raykumar Kempaiah,",2008,Strategic Alignment Maturity: A Structural Equation Model Validation,AMCIS Proceedings
2558,Human Resources,Human Resources,"Jerry Luftman, John Dorociak, Raykumar Kempaiah,",2008,Strategic Alignment Maturity: A Structural Equation Model Validation,AMCIS Proceedings
2559,changeability( dynamism),Changeability Dynamism,"Henry E. Newkirk, Albert L. Lederer",2006,Incremental and Comprehensive Strategic Information Systems Planning in an Uncertain Environment,IEEE Transactions on Engineering Management
2560,unpredictability( dynamism),Unpredictability Dynamism,"Henry E. Newkirk, Albert L. Lederer",2006,Incremental and Comprehensive Strategic Information Systems Planning in an Uncertain Environment,IEEE Transactions on Engineering Management
2561,heterogeneity,Heterogeneity,"Henry E. Newkirk, Albert L. Lederer",2006,Incremental and Comprehensive Strategic Information Systems Planning in an Uncertain Environment,IEEE Transactions on Engineering Management
2562,SISP,Strategic Information Systems Planning,"Henry E. Newkirk, Albert L. Lederer",2006,Incremental and Comprehensive Strategic Information Systems Planning in an Uncertain Environment,IEEE Transactions on Engineering Management
2563,SISP Success,Strategic Information Systems Planning Success,"Henry E. Newkirk, Albert L. Lederer",2006,Incremental and Comprehensive Strategic Information Systems Planning in an Uncertain Environment,IEEE Transactions on Engineering Management
2564,scarcity( hostility),Scarcity Hostility,"Henry E. Newkirk, Albert L. Lederer",2006,Incremental and Comprehensive Strategic Information Systems Planning in an Uncertain Environment,IEEE Transactions on Engineering Management
2565,competition( hostility),Competition Hostility,"Henry E. Newkirk, Albert L. Lederer",2006,Incremental and Comprehensive Strategic Information Systems Planning in an Uncertain Environment,IEEE Transactions on Engineering Management
2566,business change,Business Change,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2567,information technology change,Information Technology Change,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2568,strategic information systems planning horizon,Strategic Information Systems Planning Horizon,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2569,strategic awareness,Strategic Awareness,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2570,situation analysis,Situation Analysis,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2571,strategy conception,Strategy Conception,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2572,strategy formulation,Strategy Formulation,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2573,strategy implementation planning,Strategy Implementation Planning,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2574,alignment,Strategic Information Systems Alignment,"Henry E. Newkirk 1 Albert L. Lederer, Alice M. Johnson",2008,Rapid business and IT change: drivers for strategic information systems planning?,European Journal of Information Systems
2575,HR practices,Human Resource Practices,"Jo Rhodes, Peter Lokb , Song Yangc, YuanQiang Xia",2011,The effects of organizational intangible factors on successful enterprise resource planning systems implementation and organizational performance: A China experience,Asian Business & Management
2576,strategic alignment/leadership,Strategic Alignment and Leadership,"Jo Rhodes, Peter Lokb , Song Yangc, YuanQiang Xia",2011,The effects of organizational intangible factors on successful enterprise resource planning systems implementation and organizational performance: A China experience,Asian Business & Management
2577,organisational/corp. culture,Organizational Corporate Culture,"Jo Rhodes, Peter Lokb , Song Yangc, YuanQiang Xia",2011,The effects of organizational intangible factors on successful enterprise resource planning systems implementation and organizational performance: A China experience,Asian Business & Management
2578,successful ERPS implementation,Successful Enterprise Resource Planning System Implementation,"Jo Rhodes, Peter Lokb , Song Yangc, YuanQiang Xia",2011,The effects of organizational intangible factors on successful enterprise resource planning systems implementation and organizational performance: A China experience,Asian Business & Management
2579,non-financial based-F1,Non Financial Performance,"Jo Rhodes, Peter Lokb , Song Yangc, YuanQiang Xia",2011,The effects of organizational intangible factors on successful enterprise resource planning systems implementation and organizational performance: A China experience,Asian Business & Management
2580,financial-based-F2,Financial Performance,"Jo Rhodes, Peter Lokb , Song Yangc, YuanQiang Xia",2011,The effects of organizational intangible factors on successful enterprise resource planning systems implementation and organizational performance: A China experience,Asian Business & Management
2581,IT support for strategy,Information Technology support for strategy,"Suzanne Rivarda,  Louis Raymondb , David Verreault",2006,Resource-based view and competitive strategy: An integrated model of the contribution of information technology to firm performance,Journal of Strategic Information Systems
2582,industry forces,Industry Forces,"Suzanne Rivarda,  Louis Raymondb , David Verreault",2006,Resource-based view and competitive strategy: An integrated model of the contribution of information technology to firm performance,Journal of Strategic Information Systems
2583,market performance,Market Performance,"Suzanne Rivarda,  Louis Raymondb , David Verreault",2006,Resource-based view and competitive strategy: An integrated model of the contribution of information technology to firm performance,Journal of Strategic Information Systems
2584,profitability,Profitability,"Suzanne Rivarda,  Louis Raymondb , David Verreault",2006,Resource-based view and competitive strategy: An integrated model of the contribution of information technology to firm performance,Journal of Strategic Information Systems
2585,IT support for firm assets,Information Technology support for firm assets,"Suzanne Rivarda,  Louis Raymondb , David Verreault",2006,Resource-based view and competitive strategy: An integrated model of the contribution of information technology to firm performance,Journal of Strategic Information Systems
2592,demographic similarity,Demographic Similarity,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2593,experiental similarity,Experiential similarity,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2594,structual systems of knowing,Structural Systems of Knowing,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2595,social systems of knowing,Social Systems of Knowing,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2596,management of TMT expectations,Management of Top Management Team Expectations,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2597,educational events,Educational Events,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2598,shared language,Shared Language,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2599,shared understanding,Shared Understanding,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2600,IS strategic alignment,Information Systems Strategic Alignment,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2601,CIO business knowledge,Chief Information Officer Business Knowledge,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2602,TMT IS knowledge,Top Management Team Strategic Information Systems Knowledge,"David S. Preston, Elena Karahanna",2009,Antecedents of IS Strategic Alignment: A Nomological Network,Information Systems Research
2603,Leadership,Leadership,"Ra’ed M. Masa’deh, Rifat O. Shannak, Dmaithan A. Almajali, Zulkhairi Dahalin",2010,An Empirical Study of Antecedents and IT-Business Strategic Alignment in Jordanian Public Shareholding Firms: A Structural Equation Modelling Approach,Annual International Conference on Infocomm Technologies in Competitive Strategies
2604,Strategic Alignment,Strategic Alignment,"Ra’ed M. Masa’deh, Rifat O. Shannak, Dmaithan A. Almajali, Zulkhairi Dahalin",2010,An Empirical Study of Antecedents and IT-Business Strategic Alignment in Jordanian Public Shareholding Firms: A Structural Equation Modelling Approach,Annual International Conference on Infocomm Technologies in Competitive Strategies
2605,Structure and Process,Structures and Processes,"Ra’ed M. Masa’deh, Rifat O. Shannak, Dmaithan A. Almajali, Zulkhairi Dahalin",2010,An Empirical Study of Antecedents and IT-Business Strategic Alignment in Jordanian Public Shareholding Firms: A Structural Equation Modelling Approach,Annual International Conference on Infocomm Technologies in Competitive Strategies
2606,Service Quality,Service Quality,"Ra’ed M. Masa’deh, Rifat O. Shannak, Dmaithan A. Almajali, Zulkhairi Dahalin",2010,An Empirical Study of Antecedents and IT-Business Strategic Alignment in Jordanian Public Shareholding Firms: A Structural Equation Modelling Approach,Annual International Conference on Infocomm Technologies in Competitive Strategies
2607,Value and Belief,Value and Belief,"Ra’ed M. Masa’deh, Rifat O. Shannak, Dmaithan A. Almajali, Zulkhairi Dahalin",2010,An Empirical Study of Antecedents and IT-Business Strategic Alignment in Jordanian Public Shareholding Firms: A Structural Equation Modelling Approach,Annual International Conference on Infocomm Technologies in Competitive Strategies
2608,IT Managerial Resource,Information Technology Managerial Resource,"Ra’ed M. Masa’deh, Rifat O. Shannak, Dmaithan A. Almajali, Zulkhairi Dahalin",2010,An Empirical Study of Antecedents and IT-Business Strategic Alignment in Jordanian Public Shareholding Firms: A Structural Equation Modelling Approach,Annual International Conference on Infocomm Technologies in Competitive Strategies
2609,IT Implementation Success,Information Technology Implementation Success,"Ra’ed M. Masa’deh, Rifat O. Shannak, Dmaithan A. Almajali, Zulkhairi Dahalin",2010,An Empirical Study of Antecedents and IT-Business Strategic Alignment in Jordanian Public Shareholding Firms: A Structural Equation Modelling Approach,Annual International Conference on Infocomm Technologies in Competitive Strategies
2610,relation- specificity of human-based knowledge resources,Relationship specificity of human knowledge resources,"Mohammed Ibrahim, Pieter M. Ribbers, Bert Bettonvil",2012,Human-knowledge resources and interorganisational systems,Information Systems Journal
2611,process-based IOS capabilities,Process Based Interorganisational Systems Capabilities,"Mohammed Ibrahim, Pieter M. Ribbers, Bert Bettonvil",2012,Human-knowledge resources and interorganisational systems,Information Systems Journal
2612,knowledge-based IOS capabilities,Knowledge Based Interorganisational System Capabilities,"Mohammed Ibrahim, Pieter M. Ribbers, Bert Bettonvil",2012,Human-knowledge resources and interorganisational systems,Information Systems Journal
